ms,hall,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
6720,1,-3277,-330,9527,30,-4316,-267
6724,1,-3191,-282,9608,27,-4315,-267
6720,1,-3109,-289,9714,20,-4314,-266
6724,1,-3024,-354,9861,18,-4314,-260
6728,1,-2951,-349,9922,16,-4314,-265
6716,1,-2836,-412,10034,25,-4313,-266
6780,1,-2782,-408,10118,36,-4312,-268
6776,1,-2669,-356,10174,38,-4312,-269
6788,1,-2585,-309,10300,36,-4310,-267
6776,1,-2505,-265,10413,23,-4308,-263
6768,1,-2397,-326,10479,17,-4308,-265
6788,1,-2309,-371,10573,18,-4309,-260
6772,1,-2164,-427,10644,22,-4308,-264
6776,1,-2050,-404,10721,30,-4306,-272
6772,1,-1948,-390,10789,37,-4307,-271
6772,1,-1877,-320,10867,33,-4300,-267
6788,1,-1755,-335,10912,28,-4300,-265
6776,1,-1605,-366,10959,19,-4297,-255
6768,1,-1458,-432,11079,20,-4294,-255
6784,1,-1363,-456,11136,24,-4292,-260
6772,1,-1249,-446,11135,33,-4288,-265
6776,1,-1148,-391,11228,35,-4287,-276
6776,1,-1067,-336,11242,33,-4288,-274
6768,1,-906,-313,11277,28,-4284,-266
6724,1,-784,-344,11344,18,-4282,-258
6716,1,-640,-405,11344,16,-4283,-249
6720,1,-488,-408,11377,19,-4279,-254
6720,1,-389,-473,11394,30,-4271,-262
6720,1,-303,-407,11393,34,-4273,-272
6720,1,-193,-386,11431,33,-4268,-275
6716,1,-14,-391,11421,26,-4265,-270
6676,1,120,-420,11432,24,-4265,-257
6708,1,248,-383,11446,22,-4257,-251
6724,1,401,-447,11470,23,-4257,-254
6708,1,485,-458,11451,27,-4253,-263
6716,1,605,-370,11409,24,-4251,-269
6716,1,717,-422,11402,28,-4251,-271
6712,1,846,-377,11389,30,-4252,-263
6712,1,954,-321,11387,23,-4247,-259
6712,1,1118,-428,11336,28,-4249,-256
6772,1,1225,-419,11281,35,-4251,-256
6760,1,1372,-344,11287,29,-4242,-264
6768,1,1494,-410,11256,28,-4237,-266
6760,1,1585,-311,11210,26,-4233,-267
6764,1,1675,-355,11188,18,-4232,-266
6768,1,1826,-422,11141,25,-4231,-260
6772,1,1976,-343,11105,26,-4225,-257
6760,1,2091,-371,10979,24,-4225,-256
6764,1,2191,-398,10947,28,-4220,-263
6760,1,2309,-333,10890,29,-4216,-267
6768,1,2370,-397,10815,27,-4211,-265
6768,1,2511,-361,10750,28,-4207,-259
6764,1,2621,-281,10704,20,-4203,-256
6768,1,2753,-407,10590,28,-4201,-253
6764,1,2824,-342,10587,36,-4197,-255
6768,1,2916,-264,10456,28,-4194,-256
6760,1,3002,-327,10406,27,-4189,-261
6764,1,3066,-319,10320,24,-4183,-266
6768,1,3179,-321,10210,20,-4179,-264
6764,1,3249,-389,10104,24,-4178,-261
6768,1,3331,-311,10048,27,-4175,-250
6764,1,3445,-310,9925,27,-4167,-245
